MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply,Data Rate,DigiKey Programmable,Function,Grade,Input Type,Interface,Number of Inputs,Number of Outputs,Operating Temperature,Output Type,Protocol,Qualification,Series,Standards,Voltage - Supply
1893BFILF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 48SSOP,pmic-supervisors,239,16.89,"48-BSSOP (0.295"", 7.50mm Width)",,Active,https://www.renesas.com/us/en/document/dst/1893bfbk-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BFILF/2004857,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BY-10LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,2.63694,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BY-10LF/2004868,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BY-10LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,2.49268,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BY-10LFT/2004869,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BYI-10LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,5.22225,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BYI-10LF/2004872,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BYI-10LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,4.96792,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BYI-10LFT/2004873,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CFLF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 48SSOP,pmic-supervisors,0,4.158,"48-BSSOP (0.295"", 7.50mm Width)",,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CFLF/1915322,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CFLFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 48SSOP,pmic-supervisors,0,4.158,"48-BSSOP (0.295"", 7.50mm Width)",,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CFLFT/1915323,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CKILF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 56VFQFPN,pmic-supervisors,126,15.79,56-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CKILF/1915324,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CKLF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 56VFQFPN,pmic-supervisors,0,5.59019,56-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CKLF/1915325,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CKLFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 56VFQFPN,pmic-supervisors,0,4.14908,56-VFQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CKLFT/2004883,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893YI-10LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,5.22225,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/641/ics1893y-10.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893YI-10LF/2004892,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893YI-10LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,4.96792,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/641/ics1893y-10.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893YI-10LFT/2004893,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-32LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32VFQFPN,pmic-supervisors,0,5.1898,32-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1894-32-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-32LF/2514265,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-32LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32VFQFPN,pmic-supervisors,0,5.1898,32-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1894-32-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-32LFT/2415068,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-33LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32QFN,pmic-supervisors,0,4.7278,32-TFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1894-33-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-33LF/4252302,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-33LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32QFN,pmic-supervisors,0,3.50571,32-TFQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-33-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-33LFT/4252303,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-34LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32QFN,pmic-supervisors,0,2.32702,32-TFQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/ics1894-34-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-34LF/4252306,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-34LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32QFN,pmic-supervisors,0,2.19364,32-TFQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/ics1894-34-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-34LFT/4252307,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-40LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40VFQFPN,pmic-supervisors,0,5.5902,40-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1894-40-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-40LF/2514266,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-40LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40VFQFPN,pmic-supervisors,0,5.5902,40-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1894-40-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-40LFT/2415069,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-43LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40VFQFPN,pmic-supervisors,0,2.49486,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-43-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-43LF/4252310,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-43LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40VFQFPN,pmic-supervisors,0,2.42501,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-43-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-43LFT/4252311,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-44LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40QFN,pmic-supervisors,0,2.49486,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-44-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-44LF/4252314,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894K-44LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40QFN,pmic-supervisors,0,2.42501,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-44-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894K-44LFT/4252315,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-34LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32QFN,pmic-supervisors,0,2.64843,32-TFQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/ics1894-34-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-34LF/4252308,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-34LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 32QFN,pmic-supervisors,0,2.50004,32-TFQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/ics1894-34-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-34LFT/4252309,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-40LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40QFN,pmic-supervisors,0,6.391,40-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1894-40-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-40LF/2514268,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-40LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40VFQFPN,pmic-supervisors,0,6.391,40-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1894-40-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-40LFT/2415071,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-43LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40QFN,pmic-supervisors,0,2.85749,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-43-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-43LF/4252312,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-43LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40QFN,pmic-supervisors,0,2.77937,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-43-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-43LFT/4252313,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-44LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40QFN,pmic-supervisors,0,2.85749,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-44-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-44LF/4252316,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1894KI-44LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 40QFN,pmic-supervisors,0,2.77937,40-TQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1894-44-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1894KI-44LFT/4252317,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,,10/100 Base-T/TX PHY,3.14V ~ 3.47V
5962-9099703MRA,Altera,"MICROPROCESSOR CIRCUIT, CMOS",pmic-supervisors,826,101.5,"20-CDIP (0.300"", 7.62mm)",,Active,https://rocelec.widen.net/view/pdf/l0sgixiiol/5962-90997.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9099703MRA/12100021,75mA,,Not Verified,Controller,,,Bus,,,-55°C ~ 125°C,,,,82C288,,4.75V ~ 5.25V
78Q8430-100IGTR/F,Analog Devices Inc./Maxim Integrated,IC LAN MEDIA ACCESS CTLR 100LQFP,pmic-supervisors,0,4.97175,100-LQFP,,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/78q8430.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/78Q8430-100IGTR-F/2447579,230mA,,Not Verified,Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,,10/100 Base-T/TX PHY,3.3V
88LX2718A1-NAX2C000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,0,2.70982,28-QFN,,Obsolete,,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX2718A1-NAX2C000/9675930,,,Not Verified,Controller,,,"RGMII, SGMII",,,-40°C ~ 70°C,,G.hn,,,,
88LX2720A0-NYC2C000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,0,2.772,28-QFN,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8918/88LX2720.pdf,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX2720A0-NYC2C000/9646875,,,Not Verified,Controller,,,"RGMII, SGMII",,,0°C ~ 70°C,,G.hn,,,,
88LX2730A0-NYC2C000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,3705,5.67,28-QFN,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/573/MxL_Ghn_Flyer_10-11-18.pdf,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX2730A0-NYC2C000/9646876,,,Not Verified,Controller,,,"RGMII, SGMII",,,0°C ~ 70°C,,G.hn,,,,
88LX2740A0-NYC2C000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,0,4.0656,28-QFN,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/573/MxL_Ghn_Flyer_10-11-18.pdf,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX2740A0-NYC2C000/9646877,,,Not Verified,Controller,,,"RGMII, SGMII",,,,,G.hn,,,,
88LX2741A0-NYC2I000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,4720,7.27,28-QFN,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/573/MxL_Ghn_Flyer_10-11-18.pdf,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX2741A0-NYC2I000/9646878,,,Not Verified,Controller,,,"RGMII, SGMII",,,0°C ~ 70°C,,G.hn,,,,
88LX5152A0-BUU2C000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,1143,18.76,186-BGA,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/573/MxL_Ghn_Flyer_10-11-18.pdf,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX5152A0-BUU2C000/9646872,,,Not Verified,Controller,,,"RGMII, SGMII",,,0°C ~ 70°C,,G.hn,,,,
88LX5153A0-BUU2C000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,3191,23.3,186-BGA,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/573/MxL_Ghn_Flyer_10-11-18.pdf,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX5153A0-BUU2C000/9646873,,,Not Verified,Controller,,,"RGMII, SGMII",,,-40°C ~ 70°C,,G.hn,,,,
88LX5153A0-BUU2I000,"MaxLinear, Inc.",IC G.HN CONTROLLER RGMII/SGMII,pmic-supervisors,0,25.66,186-BGA,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/573/MxL_Ghn_Flyer_10-11-18.pdf,https://www.digikey.com/en/products/detail/maxlinear-inc/88LX5153A0-BUU2I000/9646874,,,Not Verified,Controller,,,"RGMII, SGMII",,,-40°C ~ 70°C,,G.hn,,,,
88Q5050-B0-LKJ2A000-P123,Infineon Technologies,88Q5050-B0-LKJ2A000-P123,pmic-supervisors,0,19.63,128-TQFP Exposed Pad,,Active,https://www.infineon.com/assets/row/public/documents/10/45/brightlane-88q5050-secure-automotive-switch-pb.pdf,https://www.digikey.com/en/products/detail/infineon-technologies/88Q5050-B0-LKJ2A000-P123/29513264,,,,Switch,Automotive,,"GPIO, MII, RMII, SGMII",,,,,Ethernet,AEC-Q100,,"IEEE 802.3, 100 Base-TX PHY",
88Q5152-D0-DGH2A000,Infineon Technologies,SWITCHES,pmic-supervisors,0,28.7,288-BGA,,Active,https://www.infineon.com/assets/row/public/documents/10/49/infineon-automotive-ethernet-datasheet.htm-datasheet-en.htm,https://www.digikey.com/en/products/detail/infineon-technologies/88Q5152-D0-DGH2A000/28739506,,,,Switch,Automotive,,"MII, PCIe, RGMII, RMII",,,,,Ethernet,AEC-Q100,BRIGHTLANE™,"IEEE 802.3, 10/100/1000 Base-T PHY",
88Q5192-D0-DGG2A000,Infineon Technologies,88Q5192-D0-DGG2A000,pmic-supervisors,0,47.15,-,,Active,https://www.infineon.com/assets/row/public/documents/10/49/infineon-automotive-ethernet-datasheet.htm-datasheet-en.htm,https://www.digikey.com/en/products/detail/infineon-technologies/88Q5192-D0-DGG2A000/29513246,,,,,,,,,,,,,,,,
88Q6113-B2-BYZ2A000,Infineon Technologies,88Q6113-B2-BYZ2A000,pmic-supervisors,0,24.91,356-BGA,,Active,https://www.infineon.com/assets/row/public/documents/10/49/infineon-automotive-ethernet-datasheet.htm-datasheet-en.htm,https://www.digikey.com/en/products/detail/infineon-technologies/88Q6113-B2-BYZ2A000/29513259,,,,Switch,Automotive,,"MII, PCIe, RGMII, RMII, SGMII",,,,,Ethernet,AEC-Q100,BRIGHTLANE™,IEEE 802.3,
ADIN2111BCPZ,Analog Devices Inc.,2-PORT SWITCH WITH 10BASE-T1L PH,pmic-supervisors,2,17.71,"48-WFQFN Exposed Pad, CSP",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/adin2111.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADIN2111BCPZ/15906334,65mA,,Not Verified,Switch,,,"Serial, SPI",,,-40°C ~ 85°C (TA),,Ethernet,,,"IEEE 802.3, 10 Base-T PHY","1.71V ~ 3.46V, 3.13V ~ 3.46V"
ADIN2111BCPZ-R7,Analog Devices Inc.,2-PORT SWITCH WITH 10BASE-T1L PH,pmic-supervisors,966,17.71,"48-WFQFN Exposed Pad, CSP",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/adin2111.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADIN2111BCPZ-R7/15906312,65mA,,Not Verified,Switch,,,"Serial, SPI",,,-40°C ~ 85°C (TA),,Ethernet,,,"IEEE 802.3, 10 Base-T PHY","1.71V ~ 3.46V, 3.13V ~ 3.46V"
ADIN2111CCPZ,Analog Devices Inc.,2-PORT SWITCH WITH 10BASE-T1L PH,pmic-supervisors,0,19.44,"48-WFQFN Exposed Pad, CSP",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/adin2111.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADIN2111CCPZ/15906326,65mA,,Not Verified,Switch,,,"Serial, SPI",,,-40°C ~ 105°C (TA),,Ethernet,,,"IEEE 802.3, 10 Base-T PHY","1.71V ~ 3.46V, 3.13V ~ 3.46V"
ADIN2111CCPZ-R7,Analog Devices Inc.,2-PORT SWITCH WITH 10BASE-T1L PH,pmic-supervisors,788,19.44,"48-WFQFN Exposed Pad, CSP",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/adin2111.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADIN2111CCPZ-R7/15906319,65mA,,Not Verified,Switch,,,"Serial, SPI",,,-40°C ~ 105°C (TA),,Ethernet,,,"IEEE 802.3, 10 Base-T PHY","1.71V ~ 3.46V, 3.13V ~ 3.46V"
ADM6918ABT1,Infineon Technologies,IC SWITCH CNTRLR 10/100 128FQFP,pmic-supervisors,0,6.22914,128-BFQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2366/ADM6918%2C%20X.pdf,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6918ABT1/1016131,,,Not Verified,Controller,,,Parallel,,,0°C ~ 115°C,,Ethernet,,,10/100 Base-T/TX PHY,3.135V ~ 3.465V
ADM6918XABT1,Infineon Technologies,IC SWITCH CNTRLR 10/100 128FQFP,pmic-supervisors,0,6.22914,128-BFQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2366/ADM6918%2C%20X.pdf,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6918XABT1/1016128,,,Not Verified,Controller,,,Parallel,,,0°C ~ 115°C,,Ethernet,,,10/100 Base-T/TX PHY,3.135V ~ 3.465V
ADM6926ABT1,Infineon Technologies,IC SWITCH CNTRLR 10/100 128QFP,pmic-supervisors,0,6.80944,128-BFQFP,,Obsolete,,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6926ABT1/1016127,,,Not Verified,,,,,,,0°C ~ 115°C,,,,,,3.135V ~ 3.465V
ADM6926X-AB-T-1,Infineon Technologies,IC ETHERNET SW CTRLR 128QFP,pmic-supervisors,0,6.80944,128-BFQFP,,Obsolete,,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6926X-AB-T-1/1280753,,,Not Verified,,,,,,,0°C ~ 115°C,,,,,,3.135V ~ 3.465V
ADM6992CX-AB-T-1,Infineon Technologies,IC ETHERNET CONVERTER 64-PIN,pmic-supervisors,0,3.99915,64-LQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/829/ADM6992C_CX.pdf,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6992CX-AB-T-1/1280754,,,Not Verified,Switch,,,,,,0°C ~ 115°C,,Ethernet,,,10/100 Base-FX/T/TX PHY,3.135V ~ 3.465V
ADM6992KX-AB-T-1,Lantiq,NINJA: FIBER TO FAST ETHERNET CO,pmic-supervisors,1600,6.25,64-LQFP,,Active,https://infineon.product-discontinuation.com/Pdf/2008/11708/cPD_117_08.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/ADM6992KX-AB-T-1/12591518,,,Not Verified,Switch,,,,,,0°C ~ 115°C,,Ethernet,,,10/100 Base-FX/T/TX PHY,3.135V ~ 3.465V
ADM6992KX-AB-T-1-INF,Infineon Technologies,NINJA: FIBER TO FAST ETHERNET CO,pmic-supervisors,2486,6.25,-,,Active,https://infineon.product-discontinuation.com/Pdf/2008/11708/cPD_117_08.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/ADM6992KX-AB-T-1-INF/12642633,,,Not Verified,,,,,,,,,,,,,
ADM6992X-AD-T-1,Infineon Technologies,IC ETHERNET CONVERTER 128QFP,pmic-supervisors,0,5.44191,128-BFQFP,,Obsolete,,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6992X-AD-T-1/1280757,,,Not Verified,Switch,,,,,,0°C ~ 115°C,,Ethernet,,,10/100 Base-FX/T/TX PHY,3.135V ~ 3.465V
ADM6993FX-AD-T-1,Infineon Technologies,IC ETHERNET CONVERTER 128QFP,pmic-supervisors,0,10.88,128-BFQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/582/ADM6993_X_DS_green_version_1.pdf,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6993FX-AD-T-1/1280758,,,Not Verified,Switch,,,Parallel,,,0°C ~ 115°C,,Ethernet,,,10/100 Base-T/TX/FX PHY,3.135V ~ 3.465V
ADM6995LAAT1,Infineon Technologies,IC SWITCH CNTRLR 10/100 128QFP,pmic-supervisors,0,3.42312,128-BFQFP,,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/infineon-technologies/ADM6995LAAT1/1016138,,,Not Verified,,,,,,,0°C ~ 115°C,,,,,,3.135V ~ 3.465V
