MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
100179DC,National Semiconductor,IC LOOK CARRY GENTR 4BIT 24-CDIP,clock-timing-programmable-timers-oscillators,907,5.71,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/n5zhrvmkkg/NATLS21977-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100179DC/12100548,,Look-ahead Carry Generator,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100179J-MIL,National Semiconductor,IC LOOK CARRY GENTR 4BIT 24-CDIP,clock-timing-programmable-timers-oscillators,851,22.2,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/n5zhrvmkkg/NATLS21977-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100179J-MIL/12593385,,Look-ahead Carry Generator,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100179W-MIL,National Semiconductor,IC LOOK CARRY GENTR 4BIT 24-CDIP,clock-timing-programmable-timers-oscillators,754,23.85,24-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/n5zhrvmkkg/NATLS21977-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100179W-MIL/12601019,,Look-ahead Carry Generator,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100181DC,National Semiconductor,IC ARITH LOGIC UNIT 4BIT 24CDIP,clock-timing-programmable-timers-oscillators,957,117.65,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/ny5qzmxzl4/NATLS21975-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100181DC/12100198,,Arithmetic Logic Unit,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100181DCQR,National Semiconductor,IC ARITH LOGIC UNIT 4BIT 24CDIP,clock-timing-programmable-timers-oscillators,642,10.1,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/ny5qzmxzl4/NATLS21975-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100181DCQR/12099859,,Arithmetic Logic Unit,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100181FC,National Semiconductor,IC ARITH LOGIC UNIT 4BIT 24CFTPK,clock-timing-programmable-timers-oscillators,265,92.99,-,Surface Mount,Active,https://rocelec.widen.net/view/pdf/ny5qzmxzl4/NATLS21975-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100181FC/12101407,,Arithmetic Logic Unit,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100182DC,National Semiconductor,IC WALLACE TREE ADDR 9BIT 24CDIP,clock-timing-programmable-timers-oscillators,170,117.65,"24-CDIP (0.600"", 15.24mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/o69vbzzmty/NATLS21974-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100182DC/12101168,,Wallace Tree Adder,9,0°C ~ 85°C,,,-4.2V ~ -5.7V
100182FC,"Rochester Electronics, LLC","ADD/SUBTRACT, 100K SERIES, 1-BIT",clock-timing-programmable-timers-oscillators,128,92.99,-,-,Active,https://rocelec.widen.net/view/pdf/mxqrucv9hi/RSELS20564-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100182FC/12604313,,,,,,*,
100LVEL16M,Fairchild Semiconductor,IC DIFFERENTIAL RX 1BIT 8-SOIC,clock-timing-programmable-timers-oscillators,11505,6.99,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/mnmrcbk9wu/FAIRS20130-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100LVEL16M/11523457,,Differential Receiver,1,-40°C ~ 85°C,,100LVEL,3V ~ 3.8V
100LVEL16MX,onsemi,IC DIFFERENTIAL RX 1BIT 8-SOIC,clock-timing-programmable-timers-oscillators,0,2.9625,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/900/100LVEL16.pdf,https://www.digikey.com/en/products/detail/onsemi/100LVEL16MX/975245,,Differential Receiver,1,-40°C ~ 85°C,,100LVEL,3V ~ 3.8V
4007A/BCA,"Rochester Electronics, LLC",DUAL MARKED (M38510/05301BCA),clock-timing-programmable-timers-oscillators,603,92.99,-,-,Active,https://rocelec.widen.net/view/pdf/bgvmd10pxx/RE_DSHEET_4007ABCA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4007A-BCA/12608640,,,,,,*,
4007UBDC,National Semiconductor,IC COMPL PAIR W/INV 3BIT 14-CDIP,clock-timing-programmable-timers-oscillators,1890,0.4,"14-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/tqv6uexw4d/FAIRS32757-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4007UBDC/12101568,,Complementary Pair Plus Inverter,3,0°C ~ 70°C,,4007UB,
4007UBDM,National Semiconductor,IC COMPL PAIR W/INV 3BIT 14-CDIP,clock-timing-programmable-timers-oscillators,12198,0.4,"14-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/tqv6uexw4d/FAIRS32757-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4007UBDM/12102294,,Complementary Pair Plus Inverter,3,-55°C ~ 125°C,,4007UB,
4008BDC,National Semiconductor,IC FULL ADDER 4BIT 16-CDIP,clock-timing-programmable-timers-oscillators,3633,1.06,16-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/up1ceoiy7f/FAIRS32759-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4008BDC/12102382,,Full Adder,4,,,4008B,5V ~ 15V
5482J/B,"Rochester Electronics, LLC",2-BIT BINARY FULL ADDERS,clock-timing-programmable-timers-oscillators,68,90.48,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_FAIRS32950-1.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5482J-B/12594941,,,,,,*,
5482W/R LF,"Rochester Electronics, LLC",5482W/R  LF,clock-timing-programmable-timers-oscillators,26,67.76,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_FAIRS32950-1.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5482W-R-LF/12710308,,,,,,*,
54F182LMQB,National Semiconductor,IC LOOK CARRY GENTR 4BIT 20-LCCC,clock-timing-programmable-timers-oscillators,62,8.35,20-CLCC,Surface Mount,Active,https://rocelec.widen.net/view/pdf/in52gp4gcs/NATLS12468-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F182LMQB/12124929,,Look-ahead Carry Generator,4,-55°C ~ 125°C,,54F,4.5V ~ 5.5V
54F381ADM/B,"Rochester Electronics, LLC",ALU/FUNCTION GENERATOR,clock-timing-programmable-timers-oscillators,258,101.4,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_NATLD068-4-289.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F381ADM-B/12599359,,,,,,*,
54LS183/BCA,"Rochester Electronics, LLC",DUAL MARKED (5962-9054101CA),clock-timing-programmable-timers-oscillators,750,104.03,-,-,Active,https://rocelec.widen.net/view/pdf/shtqtc0kps/RE_DSHEET_54LS183BCA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS183-BCA/12617698,,,,,,*,
54LS183J,"Rochester Electronics, LLC",FULL ADDER; DUAL CARRY-SAVE,clock-timing-programmable-timers-oscillators,300,68.9,-,-,Active,https://rocelec.widen.net/view/pdf/ctyx6z3enq/RE_DSHEET_54LS183J-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS183J/12600287,,,,,,*,
54LS681J/B,"Rochester Electronics, LLC",ACCUMULATOR,clock-timing-programmable-timers-oscillators,1002,157.65,-,-,Active,https://rocelec.widen.net/view/pdf/bevy67s0wt/RE_DSHEET_54LS681JB-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS681J-B/12710864,,,,,,*,
5962-8976501EA,Harris Corporation,IC BINARY FULL ADDER 4BIT 16CDIP,clock-timing-programmable-timers-oscillators,218,20.6,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/zqhwlvw0wn/cd54hc283.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-8976501EA/12095090,,Binary Full Adder with Fast Carry,4,-55°C ~ 125°C,,,2V ~ 6V
5962-9172501M3A,Texas Instruments,SN54BCT8373A SCAN TEST DEVICES W,clock-timing-programmable-timers-oscillators,952,94.33,-,-,Active,https://rocelec.widen.net/view/pdf/iebqiht7rm/sn54bct8373a.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9172501M3A/13433601,,,,,,*,
5962-9172601MLA,Texas Instruments,IC SCAN TEST DEVICE 8BIT 24-CDIP,clock-timing-programmable-timers-oscillators,20,59.99,"24-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/r26vqgkscu/sn54bct8244a.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9172601MLA/13515222,Military,Scan Test Device with Buffers,8,-55°C ~ 125°C,MIL-PRF-38535L,54BCT,4.5V ~ 5.5V
5962-9172701Q3A,Texas Instruments,SN54BCT8374A SCAN TEST DEVICES W,clock-timing-programmable-timers-oscillators,7,96.2,-,-,Active,https://rocelec.widen.net/view/pdf/yg9555bame/sn54bct8374a.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9172701Q3A/13450408,,,,,,*,
5962-9172701QLA,Texas Instruments,SN54BCT8374A SCAN TEST DEVICES W,clock-timing-programmable-timers-oscillators,88,71.25,-,-,Active,https://rocelec.widen.net/view/pdf/yg9555bame/sn54bct8374a.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9172701QLA/13431992,,,,,,*,
5962-9323901Q3A,Texas Instruments,IC SCAN-PATH LINKERS 4BIT 28SOIC,clock-timing-programmable-timers-oscillators,159,151.38,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/pduhnfvduh/sn54act8997.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9323901Q3A/13478558,,SCAN-PATH LINKERS,4,0°C ~ 70°C,,,4.5V ~ 5.5V
5962-9477301QXA,Texas Instruments,IC REG BUS TRANSCEIVER,clock-timing-programmable-timers-oscillators,101,27.18,-,-,Active,https://rocelec.widen.net/view/pdf/dzomrhcj0z/TXIID047-9-31.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9477301QXA/12104012,,,,,,*,
5962-9681501QXA,Texas Instruments,IC BUS TRANSCEIVER FB SERIES,clock-timing-programmable-timers-oscillators,69,28.55,-,-,Active,https://rocelec.widen.net/view/pdf/gwwcx3maqj/TXIID012-8-33.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9681501QXA/12105273,,,,,,*,
7483APC,Fairchild Semiconductor,IC BINARY FULL ADDER 4BIT 16PDIP,clock-timing-programmable-timers-oscillators,870,2.1,16-DIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/canntg3xyl/FAIRS32874-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/7483APC/12614360,,Binary Full Adder with Fast Carry,4,0°C ~ 70°C,,,4.75V ~ 5.25V
"74ABT899A,602",NXP USA Inc.,IC GENERATOR/CHECKR 9BIT 28-PLCC,clock-timing-programmable-timers-oscillators,0,1.57103,28-LCC (J-Lead),Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4843/DS_568_74ABT899.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/74ABT899A-602/1229407,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
"74ABT899A,623",Nexperia USA Inc.,IC GENERATOR/CHECKR 9BIT 28-PLCC,clock-timing-programmable-timers-oscillators,1228,3.68,28-LCC (J-Lead),Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4843/DS_568_74ABT899.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74ABT899A-623/11521602,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
74ABT899CQC,Fairchild Semiconductor,IC GENERATOR/CHECKR 9BIT 28-PLCC,clock-timing-programmable-timers-oscillators,10465,7.6,28-LCC (J-Lead),Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/wquywlq3de/FAIRS01303-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74ABT899CQC/11553057,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
74ABT899CQCX,Fairchild Semiconductor,IC GENERATOR/CHECKR 9BIT 28-PLCC,clock-timing-programmable-timers-oscillators,1541,5.18,28-LCC (J-Lead),Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/wquywlq3de/FAIRS01303-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74ABT899CQCX/11553023,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
74ABT899CSCX,Fairchild Semiconductor,IC GENERATOR/CHECKR 9BIT 28-SOIC,clock-timing-programmable-timers-oscillators,42265,2.6,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/wquywlq3de/FAIRS01303-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74ABT899CSCX/11518064,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
"74ABT899D,112",NXP USA Inc.,IC GENERATOR/CHECKER 9BIT 28-SO,clock-timing-programmable-timers-oscillators,0,1.89135,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4843/DS_568_74ABT899.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/74ABT899D-112/1229409,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
"74ABT899D,118",NXP USA Inc.,IC GENERATOR/CHECKER 9BIT 28-SO,clock-timing-programmable-timers-oscillators,0,1.89685,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4843/DS_568_74ABT899.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/74ABT899D-118/1229412,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
"74ABT899DB,112",NXP USA Inc.,IC GENERATOR/CHECKR 9BIT 28-SSOP,clock-timing-programmable-timers-oscillators,0,1.92895,"28-SSOP (0.209"", 5.30mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4843/DS_568_74ABT899.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/74ABT899DB-112/1229410,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
"74ABT899DB,118",NXP USA Inc.,IC GENERATOR/CHECKR 9BIT 28-SSOP,clock-timing-programmable-timers-oscillators,0,1.89685,"28-SSOP (0.209"", 5.30mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4843/DS_568_74ABT899.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/74ABT899DB-118/1229411,,Parity Generator/Checker,9,-40°C ~ 85°C,,74ABT,4.5V ~ 5.5V
74AC11181DW,Texas Instruments,ARITHMETIC LOGIC UNIT,clock-timing-programmable-timers-oscillators,98,5.36,-,-,Active,https://rocelec.widen.net/view/pdf/ent6kxxcp2/RE_DSHEET_AC11181.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74AC11181DW/12108795,,,,,,*,
74ACT1284MSA,Fairchild Semiconductor,IC IEEE STD 1284 TRX 7BIT 20SSOP,clock-timing-programmable-timers-oscillators,2015,1.21,"20-SSOP (0.209"", 5.30mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/izc6un1hyq/FAIRS09749-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74ACT1284MSA/11528382,,IEEE STD 1284 Translation Transceiver,7,-40°C ~ 85°C,,74ACT,4.5V ~ 5.5V
74ACT1284MSAX,Fairchild Semiconductor,IC IEEE STD 1284 TRX 7BIT 20SSOP,clock-timing-programmable-timers-oscillators,9134,1.21,"20-SSOP (0.209"", 5.30mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/izc6un1hyq/FAIRS09749-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74ACT1284MSAX/11525761,,IEEE STD 1284 Translation Transceiver,7,-40°C ~ 85°C,,74ACT,4.5V ~ 5.5V
74ACT1284MTCX,Fairchild Semiconductor,IC IEEE STD 1284 TX 7BIT 20TSSOP,clock-timing-programmable-timers-oscillators,1640,2.11,"20-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/izc6un1hyq/FAIRS09749-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74ACT1284MTCX/11528230,,IEEE STD 1284 Translation Transceiver,7,-40°C ~ 85°C,,74ACT,4.5V ~ 5.5V
74ACT1284SC,onsemi,IC IEEE STD 1284 TRX 7BIT 20SOIC,clock-timing-programmable-timers-oscillators,0,0.0,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4848/DS_261_74ACT1284.pdf,https://www.digikey.com/en/products/detail/onsemi/74ACT1284SC/979056,,IEEE STD 1284 Translation Transceiver,7,-40°C ~ 85°C,,74ACT,4.5V ~ 5.5V
74ACT1284SCX,onsemi,IC IEEE STD 1284 TRX 7BIT 20SOIC,clock-timing-programmable-timers-oscillators,0,0.0,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4848/DS_261_74ACT1284.pdf,https://www.digikey.com/en/products/detail/onsemi/74ACT1284SCX/979057,,IEEE STD 1284 Translation Transceiver,7,-40°C ~ 85°C,,74ACT,4.5V ~ 5.5V
74ACT1284TTR,STMicroelectronics,IC IEEE STD 1284 TX 7BIT 20TSSOP,clock-timing-programmable-timers-oscillators,0,0.76837,"20-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4846/DS_497_74ACT1284.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/74ACT1284TTR/1037370,,IEEE STD 1284 Translation Transceiver,7,-40°C ~ 85°C,,74ACT,4.5V ~ 5.5V
74AS632FN,"Rochester Electronics, LLC",32 BIT PARALLEL ERROR DETECTION/,clock-timing-programmable-timers-oscillators,66,49.81,-,-,Active,https://rocelec.widen.net/view/pdf/hfm7hqfvtq/RE_DSHEET_74AS632FN.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74AS632FN/12612221,,,,,,*,
74AS881ANT,"Rochester Electronics, LLC",ARITHMETIC LOGIC UNITS/FUNCTION,clock-timing-programmable-timers-oscillators,214,41.43,-,-,Active,https://rocelec.widen.net/view/pdf/k5e4toyob5/RE_DSHEET_74AS881ANT-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74AS881ANT/12612047,,,,,,*,
"74AUP1Z04GM,115",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-XSON,clock-timing-programmable-timers-oscillators,5000,0.43,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z04.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z04GM-115/1300777,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z04GM,132",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-XSON,clock-timing-programmable-timers-oscillators,0,0.19743,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z04.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z04GM-132/1300778,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z04GN,132",Nexperia USA Inc.,NEXPERIA 74AUP1Z04GN - BUS DRIVE,clock-timing-programmable-timers-oscillators,105000,0.92,-,-,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z04.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74AUP1Z04GN-132/15638838,,,,,,*,
"74AUP1Z04GS,132",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-XSON,clock-timing-programmable-timers-oscillators,5000,0.55,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z04.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z04GS-132/2779714,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z04GW,125",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-TSSOP,clock-timing-programmable-timers-oscillators,2797,0.44,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z04.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z04GW-125/1300779,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
74AUP1Z04GW-Q100H,Nexperia USA Inc.,IC INVERT/X-TAL DRVR 1BIT 6TSSOP,clock-timing-programmable-timers-oscillators,2923,0.52,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z04_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z04GW-Q100H/17296201,Automotive,"Inverter, X-Tal Driver",1,-40°C ~ 125°C,AEC-Q100,,0.8V ~ 3.6V
74AUP1Z04GW/C125,NXP USA Inc.,IC INVERT/X-TAL DRVR SOT-363,clock-timing-programmable-timers-oscillators,0,0.0,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://rocelec.widen.net/view/pdf/uosf8jixqn/PHGLS25190-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74AUP1Z04GW-C125/12102487,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z125GF,132",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-XSON,clock-timing-programmable-timers-oscillators,99398,0.5,6-XFDFN,Surface Mount,Active,https://rocelec.widen.net/view/pdf/arhzyx3cqi/PHGLS25191-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74AUP1Z125GF-132/12616476,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z125GM,115",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-XSON,clock-timing-programmable-timers-oscillators,0,0.51,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z125.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z125GM-115/1300780,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z125GM,132",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-XSON,clock-timing-programmable-timers-oscillators,0,0.23855,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z125.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z125GM-132/1300781,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z125GN,132",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-XSON,clock-timing-programmable-timers-oscillators,0,0.36205,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z125.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z125GN-132/2779715,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
"74AUP1Z125GS,132",Nexperia USA Inc.,74AUP1Z125 - LOW-POWER X-TAL DRI,clock-timing-programmable-timers-oscillators,105000,0.69,-,-,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z125.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74AUP1Z125GS-132/15641346,,,,,,*,
"74AUP1Z125GW,125",Nexperia USA Inc.,IC INVERT/X-TAL DRVR 6-TSSOP,clock-timing-programmable-timers-oscillators,44494,0.5,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1Z125.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1Z125GW-125/1300782,,"Inverter, X-Tal Driver",,-40°C ~ 125°C,,74AUP,0.8V ~ 3.6V
74F181PC,onsemi,IC ARITH LOGIC UNIT 4BIT 24PDIP,clock-timing-programmable-timers-oscillators,0,7.54067,"24-DIP (0.600"", 15.24mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/890/74F181.pdf,https://www.digikey.com/en/products/detail/onsemi/74F181PC/32764,,Arithmetic Logic Unit,4,0°C ~ 70°C,,74F,4.5V ~ 5.5V
74F181SPC,Fairchild Semiconductor,IC ARITH LOGIC UNIT 4BIT 24PDIP,clock-timing-programmable-timers-oscillators,1125,8.23,"24-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/wzlgruoaza/FAIRS32399-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74F181SPC/11556561,,Arithmetic Logic Unit,4,0°C ~ 70°C,,74F,4.5V ~ 5.5V
